school id,school type,alevel math,olevel math,chem,phy,bio,english,ap course,cs ig,adv math,international student,transferred courses,major,specialization,cgpa,credit hours completed
EBIS,IG,0,75,65,65,0,55,0,0,0,0,7,BUS,MKTG,2.5,75
TMBS,IG,0,75,85,65,75,100,0,0,0,1,0,CS,CS,1.6,43
CMIS,American,91,86,79,0,79,85,0,0,1,0,0,BUS ,BUS,1.7,33
SIS,American,0,94,90,91,94,95,0,0,0,1,0,BUS ,FINC,4.2,78
NPS,IG,85,100,85,100,100,85,0,0,1,0,0,CS,CS,4.2,83
SHS,American,83,60,65,81,67,75,0,0,1,0,0,CS,CS,1,33
DHS,IB,0,76,70,85,0,72,0,0,0,0,0,BUS ,FINC,3.9,105
TMS,Thanaweya,0,0,85,0,85,100,0,0,0,0,0,CS,CS,1.95,51
THS,American,0,72,0,0,0,78,0,0,0,0,0,BUS ,ENTS,1.7,42
NRC,Thanaweya,0,0,55,55,65,85,0,0,0,0,0,CS,CS,1.34,32
ITIS,American,88,73,65,0,82,85,0,0,1,0,0,BUS ,ENTS,3,72
CBS,IG,0,85,0,45,0,65,0,0,0,0,0,BUS ,MKTG,3.43,72
BCK,IG,0,75,75,75,0,65,0,0,0,0,0,CS,CS,1.7,47
EBIS,IG,0,65,75,65,0,85,0,0,0,0,0,ENG ,SDE,1.7,44
NAC,IG,55,65,45,85,45,85,0,0,0,0,0,CS,CS,2.42,44
CBS,IG,75,65,85,100,75,65,0,0,1,0,0,ENG ,SDE,1.75,60
ABS,IG,0,75,45,65,45,75,0,0,0,0,0,BUS ,BUS,1.93,45
DCS,IG,0,75,65,0,65,65,0,0,0,0,0,BUS ,FINC,2.7,72
TMS,Thanaweya,0,0,55,55,75,85,0,0,0,0,0,CS,CS,1.7,51
CIS,American,0,85,85,92,93,83,0,0,0,1,0,BUS ,FINC,2.8,75
SCC,Thanaweya,0,0,0,0,0,100,0,0,0,0,0,BUS ,ENTS,3.2,69
FDLS,Thanaweya,0,0,55,55,75,85,0,0,0,0,0,BUS ,FINC,3.1,78
SPS,Thanaweya,0,85,85,75,0,85,0,0,0,0,0,ENG,SDE,1.7,57
ELS,American,87,64,86,67,69,79,0,0,1,0,0,BUS ,BUS,2,39
ACS,Thanaweya,0,0,0,0,0,100,0,0,0,0,0,BUS,MKTG,4.2,75
SIS,American,87,81,80,88,71,94,0,0,1,0,0,BUS ,BUS,1.5,48
MMLS,American,98,85,84,93,92,99,0,0,1,0,0,BUS ,ACCO,1.93,36
TWS,IG,0,75,75,75,75,85,0,0,0,0,3,CS,CS,3,79
UAS,American,0,82,53,61,60,70,0,0,0,0,5,BUS,MKTG,2.3,63
MC,American,100,100,100,100,100,100,0,0,1,0,0,BUS ,ENTS,3.25,69
QPLS,American,80,75,60,82,84,81,0,0,1,0,0,ENG,SDE,1.94,60
BSS,IG,0,75,75,75,75,85,0,0,0,0,0,BUS ,BUS,1.8,36
ACIS,American,85,85,65,65,85,85,0,0,1,0,0,CS,CS,1.9,44
GPIS,American,87,89,0,82,0,61,0,0,1,0,0,BUS ,FINC,2.6,72
VES,IG,0,55,55,55,65,65,0,0,0,0,0,BUS ,BUS,2.8,45
NWIS,IB,0,77,80,86,86,79,0,0,0,0,0,BUS,ENTS,1.8,57
SIS,IG,0,65,45,45,45,65,0,0,0,0,0,BUS ,BUS,3.3,39
HIS,American,0,77,74,74,64,97,0,0,0,0,0,BUS ,MKTG,1.7,45
ELS,American,93,93,98,94,95,92,0,0,1,0,0,ENG,SDE,3,66
NAIS,IG,75,65,0,0,0,65,0,0,1,0,0,CS,CS,2.2,57
BIS,American,0,82,0,0,0,91,0,0,0,0,0,BUS ,FINC,3.3,72
OLS,IG,0,100,85,75,85,75,0,1,0,0,0,CS,CS,3.55,78
AIS,American ,0,94,76,83,78,75,0,0,0,0,0,BUS ,MKTG,4.1,75
EBIS,IG,0,65,0,55,0,100,0,1,0,0,0,BUS ,BUS,2,42
GPIS,American,0,85,74,71,0,84,0,0,0,0,0,BUS ,MKTG,3,75
EIS,IG,0,85,65,0,0,65,0,1,0,0,0,BUS ,BUS,2.2,33
